ID,name,releasedate,Asynchronous Multiplayer,Co-op,Co-op Campaign,Competitive,Local Co-Op,Local Multiplayer,Multiplayer,Online Co-Op,Party-Based RPG,PvE,PvP,Replay Value,Singleplayer,free_to_play,Casual,RPG,Massively_Multiplayer
394510,HELLDIVERS�,07-Dec-15,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
668630,Tricolour Lovestory,20-Sep-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
582500,We Were Here,03-Feb-17,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
17460,Mass Effect,19-Dec-08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
241560,The Crew,01-Dec-14,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
253940,Septerra Core,27-Sep-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,20-Mar-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
44350,GRID 2,27-May-13,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
397060,Faeria,08-Mar-17,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
48240,Anno 2070,17-Nov-11,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
406090,Lost Moon,28-Sep-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438640,LEGO� STAR WARS�: The Force Awakens,27-Jun-16,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
547040,Above - VR,01-Nov-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444460,Love is Blind: Mutants,15-Mar-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
341380,Countless Rooms of Death,09-Jan-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557780,Atom Fishing II,29-Nov-16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
214490,Alien: Isolation,06-Oct-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
489520,Minion Masters,02-Dec-16,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0
391660,Incitement 3,19-Aug-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
248820,Risk of Rain,08-Nov-13,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0
242680,Nuclear Throne,05-Dec-15,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
705220,Tactical Monsters Rumble Arena,31-Jan-18,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
635260,CarX Drift Racing Online,17-Nov-17,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
552110,Puzzle Pirates: Dark Seas,06-Jul-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2820,X3: Terran Conflict,16-Oct-08,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
384480,Six Sides of the World,20-Jan-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
402570,Atlas Reactor,04-Oct-16,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0
4920,Natural Selection 2,30-Oct-12,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
461910,Forge of Gods (RPG),06-May-16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
273350,Evolve Stage 2,10-Feb-15,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0
278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,13-May-14,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0
6020,STAR WARS� Jedi Knight: Jedi Academy�,16-Sep-09,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
585560,Finnish Roller,31-Jan-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
232910,TrackMania� Stadium,20-Jun-13,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
48190,Assassin's Creed Brotherhood,17-Mar-11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
346940,Shadowrun: Hong Kong - Extended Edition,20-Aug-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
39150,FINAL FANTASY VIII,05-Dec-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
276810,Mordheim: City of the Damned,19-Nov-15,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
339800,HuniePop,19-Jan-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
35140,Batman: Arkham Asylum GOTY Edition,26-Mar-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35720,Trine 2,06-Jun-13,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0
220700,RPG Maker VX Ace,10-Dec-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
223100,Homefront: The Revolution,19-May-16,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
575570,ICED,15-May-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530700,Argo,22-Jun-17,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1
230290,Universe Sandbox �,24-Aug-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
311560,Assassin's Creed Rogue,09-Mar-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
403560,Eaten Alive,30-Sep-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63380,Sniper Elite V2,03-May-12,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
17480,Command and Conquer: Red Alert 3,08-Jan-09,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
223750,DCS World,02-Aug-13,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
456670,Hand of Fate 2,07-Nov-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
462930,AdVenture Communist,23-Aug-16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
48220,Might & Magic: Heroes VI,13-Oct-11,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
704040,Castle Clicker,02-Oct-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
448510,Overcooked,03-Aug-16,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0
644560,Mirror,19-Apr-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
505460,Foxhole,27-Jul-17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
544730,Catan Universe,25-Apr-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3830,Psychonauts,11-Oct-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
383980,Rivals of Aether,28-Mar-17,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
397460,The Jackbox Party Pack 2,13-Oct-15,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
205710,EverQuest Free-to-Play,13-Dec-12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
265930,Goat Simulator,01-Apr-14,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
496690,Adventures On The Polluted Islands,17-Feb-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
466580,GOD's DEATH,11-May-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
414530,Skyforge,13-Apr-17,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1
285310,RollerCoaster Tycoon: Deluxe,21-May-14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
525480,.hack//G.U. Last Recode,03-Nov-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
233860,Kenshi,06-Dec-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
431730,Aseprite,22-Feb-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371460,Gnumz: Masters of Defense,21-Dec-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47870,Need for Speed: Hot Pursuit,14-Dec-10,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
342970,Pixel Survivors,05-May-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
300550,Shadowrun: Dragonfall - Director's Cut,18-Sep-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
402710,Osiris: New Dawn,28-Sep-16,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
39500,Gothic 3,02-Dec-09,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
428690,Youtubers Life,02-Feb-17,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
320,Half-Life 2: Deathmatch,01-Nov-04,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
568220,Lobotomy Corporation,09-Apr-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
413420,Danganronpa 2: Goodbye Despair,18-Apr-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25890,Hearts of Iron III,07-Aug-09,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
321960,Might & Magic Heroes VII,29-Sep-15,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
436520,Line of Sight,31-Jan-17,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1
575860,Tomb Joe,23-Apr-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
513590,So Many Cubes,06-Oct-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
301120,Eastside Hockey Manager,01-Dec-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
326360,Warspear Online,02-Nov-17,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1
527770,Russian SuperHero Dead Ivan,19-Oct-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
357310,Oriental Empires,14-Sep-17,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
386940,Ultimate Chicken Horse,04-Mar-16,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0
362890,Black Mesa,05-May-15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
574640,Unalive,05-Jan-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
